node_id,x,y,is_counter,has_traffic_light
88962280,18.31,43.88,False,False
88962281,18.31,43.88,False,False
88962286,18.32,43.87,False,False
88962291,18.32,43.87,False,False
88962292,18.32,43.87,False,False
88962293,18.32,43.87,False,False
88962304,18.33,43.87,False,False
88962305,18.33,43.87,False,False
88962308,18.33,43.87,False,False
88962310,18.33,43.87,False,False
88962314,18.33,43.87,False,False
88962789,18.32,43.87,False,False
88962792,18.32,43.87,False,False
88963577,18.32,43.88,False,False
88963583,18.32,43.87,False,False
88963585,18.33,43.87,False,False
88963613,18.32,43.87,False,False
88964116,18.32,43.88,False,False
88965133,18.32,43.88,False,False
88965144,18.32,43.88,False,False
88965148,18.32,43.88,False,False
88965153,18.32,43.88,False,False
88965460,18.32,43.88,False,False
88965656,18.32,43.88,False,False
88966003,18.32,43.88,False,False
88966005,18.32,43.88,False,False
88966007,18.32,43.88,False,False
88966424,18.32,43.88,False,False
88966668,18.32,43.88,False,False
88966884,18.32,43.88,False,False
88967155,18.32,43.88,False,False
88967157,18.32,43.88,False,False
88967542,18.32,43.87,False,False
88967543,18.32,43.87,False,False
88967546,18.32,43.87,False,False
88968211,18.31,43.87,False,False
88970502,18.31,43.87,False,False
88970509,18.31,43.88,False,False
88970510,18.31,43.88,False,False
88970527,18.3,43.88,False,False
88970554,18.32,43.89,False,False
88970844,18.32,43.88,False,False
88970847,18.32,43.88,False,False
88971274,18.32,43.89,False,False
88973356,18.3,43.89,False,False
88983579,18.41,43.86,False,False
88983602,18.41,43.86,False,False
89011020,18.42,43.86,False,True
89011025,18.42,43.86,False,False
89011026,18.42,43.86,False,False
89011028,18.42,43.87,False,False
89011030,18.42,43.87,False,False
89012910,18.42,43.86,False,False
89013695,18.42,43.86,False,False
89015070,18.41,43.86,False,False
89015547,18.41,43.86,False,False
89016594,18.41,43.86,False,False
89016596,18.42,43.86,False,False
89016676,18.41,43.86,False,False
89017423,18.41,43.87,False,True
89017857,18.42,43.86,False,False
89018114,18.42,43.86,False,False
89018218,18.42,43.86,False,False
89018682,18.42,43.86,False,False
89018686,18.42,43.86,False,False
89020078,18.42,43.86,False,False
89020140,18.42,43.86,False,False
89023253,18.42,43.87,False,False
89023299,18.42,43.87,False,False
89023304,18.42,43.86,False,False
89023494,18.42,43.86,False,False
89023495,18.42,43.86,False,False
89023505,18.42,43.86,False,False
89023623,18.42,43.86,False,False
89023836,18.42,43.87,False,False
89023928,18.42,43.87,False,False
89023930,18.42,43.87,False,False
89024352,18.42,43.86,False,False
89025177,18.42,43.86,False,False
89025571,18.42,43.86,False,False
89025574,18.42,43.86,False,False
89026293,18.42,43.86,False,False
89026299,18.42,43.87,False,False
89027309,18.42,43.86,False,False
89027615,18.42,43.87,False,False
89027635,18.42,43.87,False,False
89027722,18.42,43.87,False,False
89027819,18.42,43.87,False,False
89027820,18.42,43.87,False,False
89027845,18.42,43.87,False,False
89028101,18.42,43.87,False,False
89028103,18.42,43.87,False,False
89028104,18.42,43.87,False,False
89028253,18.42,43.87,False,False
89028947,18.42,43.87,False,False
89028948,18.42,43.87,False,False
89028950,18.42,43.87,False,False
89037033,18.43,43.87,False,False
89037171,18.43,43.87,False,False
89038869,18.43,43.87,False,False
89039299,18.43,43.87,False,False
89039421,18.43,43.87,False,False
89039714,18.43,43.87,False,False
89039717,18.43,43.87,False,False
89040322,18.43,43.87,False,False
89040792,18.43,43.87,False,False
89040901,18.43,43.87,False,False
89040972,18.43,43.87,False,False
89041024,18.43,43.87,False,False
89041507,18.43,43.87,False,False
89041786,18.43,43.87,False,False
89041797,18.43,43.87,False,False
89041799,18.43,43.87,False,False
89042111,18.43,43.86,False,False
89042222,18.43,43.86,False,False
89042226,18.44,43.87,False,False
89042235,18.43,43.86,False,False
89042454,18.43,43.87,False,False
89043015,18.43,43.87,False,False
89043556,18.43,43.86,False,False
89043637,18.43,43.86,False,False
89043944,18.44,43.86,False,False
89043945,18.43,43.86,False,False
89043950,18.43,43.86,False,False
89043954,18.43,43.86,False,False
89044018,18.43,43.86,False,False
89044156,18.43,43.86,False,False
89044429,18.43,43.86,False,False
89044433,18.43,43.86,False,False
89044971,18.44,43.86,False,False
89044972,18.44,43.87,False,False
89045081,18.44,43.86,False,False
89045316,18.44,43.87,False,False
89045515,18.43,43.86,False,False
89045666,18.43,43.87,False,False
89045668,18.43,43.87,False,False
89046199,18.44,43.87,False,False
89046280,18.44,43.87,False,False
89046510,18.44,43.87,False,False
89047144,18.44,43.87,False,False
89047153,18.44,43.87,False,False
89047360,18.44,43.86,False,False
89049304,18.43,43.86,False,False
89049605,18.43,43.86,False,False
89050035,18.43,43.86,False,False
89050303,18.43,43.86,False,False
89050514,18.43,43.86,False,False
89050657,18.43,43.86,False,False
89050898,18.43,43.86,False,False
89051353,18.43,43.86,False,False
89051355,18.43,43.86,False,False
89052141,18.43,43.87,False,False
89052415,18.43,43.87,False,False
89052420,18.43,43.87,False,False
89052421,18.43,43.87,False,False
89052772,18.43,43.87,False,False
89054241,18.43,43.86,False,False
89055154,18.43,43.86,False,False
89055407,18.43,43.86,False,False
89055529,18.43,43.86,False,False
89055942,18.42,43.86,False,False
89056057,18.42,43.86,False,False
89056578,18.42,43.87,False,False
89056914,18.42,43.87,False,False
89056918,18.42,43.86,False,False
89057510,18.42,43.87,False,False
89057515,18.43,43.87,False,False
89057516,18.43,43.87,False,False
89057518,18.43,43.87,False,False
89058047,18.42,43.87,False,False
89058106,18.42,43.87,False,False
89058107,18.43,43.87,False,False
89058297,18.42,43.87,False,False
89058802,18.42,43.87,False,False
89059006,18.42,43.87,False,False
89059954,18.42,43.86,False,False
89060747,18.42,43.86,False,False
89073976,18.27,43.9,False,False
89075015,18.27,43.9,False,False
89075051,18.28,43.89,False,False
89075061,18.28,43.89,False,False
89075569,18.29,43.89,False,False
89076126,18.28,43.88,False,False
89076127,18.28,43.88,False,False
89076744,18.28,43.88,False,False
89076751,18.29,43.88,False,False
89082918,18.32,43.88,False,False
90134545,18.43,43.86,False,False
90134546,18.43,43.86,False,False
90136593,18.42,43.86,False,False
90137326,18.41,43.86,False,False
90138712,18.42,43.86,False,False
90141965,18.42,43.86,False,False
90143563,18.42,43.86,False,False
90143837,18.42,43.86,False,False
90149936,18.42,43.86,False,False
90154720,18.43,43.86,False,False
90154837,18.43,43.86,False,False
90202355,18.43,43.86,False,False
90204961,18.43,43.86,False,False
90205971,18.43,43.86,False,False
90206139,18.43,43.86,False,False
90206208,18.43,43.85,False,False
90206965,18.43,43.85,False,False
90207326,18.43,43.85,False,False
90209690,18.43,43.85,False,False
90209694,18.43,43.85,False,False
90209697,18.43,43.85,False,False
90211207,18.43,43.86,False,False
90211209,18.43,43.86,False,False
90212490,18.43,43.85,False,False
90212496,18.43,43.85,False,False
90214098,18.43,43.85,True,False
90214109,18.43,43.85,False,False
